structure,size,run,time_ms
ArrayList,100,1,4,263
LinkedList,100,1,0,362
ArrayDeque,100,1,0,267
ArrayList,100,2,1,487
LinkedList,100,2,0,244
ArrayDeque,100,2,0,238
ArrayList,100,3,1,020
LinkedList,100,3,0,289
ArrayDeque,100,3,0,420
ArrayList,100,4,2,362
LinkedList,100,4,0,403
ArrayDeque,100,4,0,307
ArrayList,100,5,1,267
LinkedList,100,5,0,480
ArrayDeque,100,5,0,562
ArrayList,100,6,2,562
LinkedList,100,6,0,208
ArrayDeque,100,6,0,198
ArrayList,100,7,1,565
LinkedList,100,7,0,217
ArrayDeque,100,7,0,813
ArrayList,500,1,33,749
LinkedList,500,1,1,574
ArrayDeque,500,1,0,984
ArrayList,500,2,13,623
LinkedList,500,2,0,575
ArrayDeque,500,2,0,969
ArrayList,500,3,2,669
LinkedList,500,3,1,144
ArrayDeque,500,3,1,081
ArrayList,500,4,2,868
LinkedList,500,4,0,885
ArrayDeque,500,4,1,091
ArrayList,500,5,10,266
LinkedList,500,5,0,821
ArrayDeque,500,5,1,280
ArrayList,500,6,1,593
LinkedList,500,6,0,383
ArrayDeque,500,6,0,781
ArrayList,500,7,1,789
LinkedList,500,7,0,608
ArrayDeque,500,7,0,576
ArrayList,1000,1,14,686
LinkedList,1000,1,2,391
ArrayDeque,1000,1,4,275
ArrayList,1000,2,8,755
LinkedList,1000,2,2,027
ArrayDeque,1000,2,3,162
ArrayList,1000,3,11,376
LinkedList,1000,3,4,522
ArrayDeque,1000,3,3,087
ArrayList,1000,4,8,322
LinkedList,1000,4,1,983
ArrayDeque,1000,4,1,242
ArrayList,1000,5,8,656
LinkedList,1000,5,1,894
ArrayDeque,1000,5,1,860
ArrayList,1000,6,17,571
LinkedList,1000,6,2,003
ArrayDeque,1000,6,2,749
ArrayList,1000,7,7,916
LinkedList,1000,7,2,111
ArrayDeque,1000,7,6,650
ArrayList,2000,1,44,028
LinkedList,2000,1,8,850
ArrayDeque,2000,1,10,272
ArrayList,2000,2,52,927
LinkedList,2000,2,6,418
ArrayDeque,2000,2,24,221
ArrayList,2000,3,34,134
LinkedList,2000,3,8,591
ArrayDeque,2000,3,15,074
ArrayList,2000,4,89,591
LinkedList,2000,4,12,249
ArrayDeque,2000,4,9,362
ArrayList,2000,5,54,140
LinkedList,2000,5,9,885
ArrayDeque,2000,5,12,193
ArrayList,2000,6,45,613
LinkedList,2000,6,11,622
ArrayDeque,2000,6,8,631
ArrayList,2000,7,35,797
LinkedList,2000,7,7,056
ArrayDeque,2000,7,5,937
ArrayList,5000,1,389,599
LinkedList,5000,1,61,873
ArrayDeque,5000,1,97,236
ArrayList,5000,2,314,707
LinkedList,5000,2,66,493
ArrayDeque,5000,2,56,326
ArrayList,5000,3,219,008
LinkedList,5000,3,63,568
ArrayDeque,5000,3,42,662
ArrayList,5000,4,172,779
LinkedList,5000,4,31,541
ArrayDeque,5000,4,30,135
ArrayList,5000,5,133,570
LinkedList,5000,5,26,015
ArrayDeque,5000,5,25,660
ArrayList,5000,6,130,988
LinkedList,5000,6,25,691
ArrayDeque,5000,6,26,018
ArrayList,5000,7,132,975
LinkedList,5000,7,20,784
ArrayDeque,5000,7,18,549
